sid,underlying_sid,root,symbol,name,mktdata_type,asset_class,instrument_type,mult,tick_size,start_date,end_date,auto_close_date,exchange_name,calendar_name,ccy,ccy_pair,base_ccy,quote_ccy,expiry_date,notice_date
27,355,RPOWER,RPOWER-I,RPOWER FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
28,99,COALINDIA,COALINDIA-I,COALINDIA FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
29,56,STAR,STAR-I,STAR FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
30,129,BATAINDIA,BATAINDIA-I,BATAINDIA FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
31,-1,,GODREJCP,GODREJCP,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
32,-1,,TITAN,TITAN,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
33,334,BANKINDIA,BANKINDIA-I,BANKINDIA FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
34,-1,,EICHERMOT,EICHERMOT,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
35,-1,,CIPLA,CIPLA,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
36,-1,,ADANIENT,ADANIENT,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
37,-1,,BEML,BEML,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
38,285,GRANULES,GRANULES-I,GRANULES FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
39,287,SUNPHARMA,SUNPHARMA-I,SUNPHARMA FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
40,168,CAIRN,CAIRN-I,CAIRN FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.49E+18,1.49E+18,NSE,NSE,INR,,,,,
41,154,M&MFIN,M&MFIN-I,M&MFIN FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
42,261,BHARATFORG,BHARATFORG-I,BHARATFORG FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
43,148,TATAELXSI,TATAELXSI-I,TATAELXSI FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
44,337,DISHTV,DISHTV-I,DISHTV FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
